"species_code","common_name","scientific_name"
"acafly","Acadian Flycatcher","Empidonax virescens"
"afcdov1","African Collared-Dove","Streptopelia roseogrisea"
"aldfly","Alder Flycatcher","Empidonax alnorum"
"aleter1","Aleutian Tern","Onychoprion aleuticus"
"allhum","Allen's Hummingbird","Selasphorus sasin"
"alpacc1","Alpine Accentor","Prunella collaris"
"alpswi1","Alpine Swift","Tachymarptis melba"
"ameavo","American Avocet","Recurvirostra americana"
"amebit","American Bittern","Botaurus lentiginosus"
"ambduc","American Black Duck","Anas rubripes"
"y00475","American Coot","Fulica americana"
"amecro","American Crow","Corvus brachyrhynchos"
"amgplo","American Golden-Plover","Pluvialis dominica"
"amegfi","American Goldfinch","Spinus tristis"
"norgos","American Goshawk","Astur atricapillus"
"amhgul1","American Herring Gull","Larus smithsonianus"
"amekes","American Kestrel","Falco sparverius"
"ameoys","American Oystercatcher","Haematopus palliatus"
"amepip","American Pipit","Anthus rubescens"
"amered","American Redstart","Setophaga ruticilla"
"amerob","American Robin","Turdus migratorius"
"amtspa","American Tree Sparrow","Spizelloides arborea"
"amwpel","American White Pelican","Pelecanus erythrorhynchos"
"amewig","American Wigeon","Mareca americana"
"amewoo","American Woodcock","Scolopax minor"
"amufal1","Amur Falcon","Falco amurensis"
"amupaf1","Amur Paradise-Flycatcher","Terpsiphone incei"
"ancmur","Ancient Murrelet","Synthliboramphus antiquus"
"andfla2","Andean Flamingo","Phoenicoparrus andinus"
"andgoo1","Andean Goose","Oressochen melanopterus"
"andgul1","Andean Gull","Chroicocephalus serranus"
"andneg1","Andean Negrito","Lessonia oreas"
"anhing","Anhinga","Anhinga anhinga"
"annhum","Anna's Hummingbird","Calypte anna"
"dovpri1","Antarctic Prion","Pachyptila desolata"
"antnig","Antillean Nighthawk","Chordeiles gundlachii"
"arcloo","Arctic Loon","Gavia arctica"
"arcter","Arctic Tern","Sterna paradisaea"
"arcwar1","Arctic Warbler","Phylloscopus borealis"
"astfly","Ash-throated Flycatcher","Myiarchus cinerascens"
"asspet","Ashy Storm-Petrel","Hydrobates homochroa"
"ashgoo1","Ashy-headed Goose","Chloephaga poliocephala"
